impression_id,user_id,campaign_id,campaign_name,channel,event_timestamp,impression_cost,advertiser_id,creative_id,placement_id,device_type,country,is_bot
imp_001,user_1024,SEM_Q1,Search Q1,Search,2024-01-15 08:23:45,2.50,adv_netflix_001,creative_search_001,google_search,desktop,US,false
imp_002,user_2048,DSP_Awareness,Display Awareness,Display,2024-01-15 09:12:30,0.75,adv_netflix_001,creative_display_001,iab_300x250,mobile,US,false
imp_003,user_3072,YouTube_Preroll,YouTube Preroll,Video,2024-01-15 10:45:00,1.20,adv_netflix_001,creative_video_001,youtube_instream,desktop,US,false
imp_004,user_4096,Facebook_Feed,Facebook Feed,Social,2024-01-15 11:30:15,0.50,adv_netflix_001,creative_social_001,facebook_feed,mobile,US,false
imp_005,user_5120,SEM_Q2,Search Q2,Search,2024-01-15 12:15:45,2.75,adv_netflix_001,creative_search_002,google_search,mobile,US,false
imp_006,user_6144,DSP_Retargeting,Display Retargeting,Display,2024-01-15 13:20:00,1.00,adv_netflix_001,creative_display_002,iab_728x90,desktop,US,false
imp_007,user_7168,YouTube_Discovery,YouTube Discovery,Video,2024-01-15 14:30:30,0.90,adv_netflix_001,creative_video_002,youtube_discovery,mobile,US,false
imp_008,user_8192,Instagram_Stories,Instagram Stories,Social,2024-01-15 15:45:00,0.55,adv_netflix_001,creative_social_002,instagram_stories,mobile,US,false
imp_009,user_1024,DSP_Awareness,Display Awareness,Display,2024-01-16 08:10:15,0.80,adv_netflix_001,creative_display_001,iab_300x250,desktop,US,false
imp_010,user_2048,SEM_Q1,Search Q1,Search,2024-01-16 09:30:45,2.60,adv_netflix_001,creative_search_001,google_search,mobile,US,false
imp_011,user_9216,YouTube_Preroll,YouTube Preroll,Video,2024-01-16 10:15:00,1.15,adv_netflix_001,creative_video_001,youtube_instream,tablet,US,false
imp_012,user_10240,Facebook_Feed,Facebook Feed,Social,2024-01-16 11:20:30,0.48,adv_netflix_001,creative_social_001,facebook_feed,mobile,US,false
imp_013,user_11264,DSP_Retargeting,Display Retargeting,Display,2024-01-16 12:45:00,1.05,adv_netflix_001,creative_display_002,iab_728x90,desktop,US,false
imp_014,user_12288,SEM_Q2,Search Q2,Search,2024-01-16 13:30:15,2.80,adv_netflix_001,creative_search_002,google_search,desktop,US,false
imp_015,user_13312,Instagram_Stories,Instagram Stories,Social,2024-01-16 14:50:45,0.52,adv_netflix_001,creative_social_002,instagram_stories,mobile,US,false
